阿拉伯語,阿拉伯语,Ā lā bó yǔ,"Arabic (language)"
壓縮,压缩,yāsuō,"reduce, pack together, compact, encapsulate, cut down, compressed, constrict, reduction, shrink, condensation, compress, condense, strangulate, compression"
壓抑,压抑,yāyì,"constrain, inhibit"
壓制,压制,yāzhì,"suppress, stifle, inhibit, press"
押,押,yā,"to mortgage, to pawn, to detain in custody, to escort and protect, (literary) to sign"
鴉雀無聲,鸦雀无声,yā què wú shēng,"lit. crow and peacock make no sound, absolute silence (idiom), not a single voice can be heard, absolute silence"
牙齒,牙齿,yáchǐ,"ivory, grinder, snapper, chopper, masticator, dental, teeth, pearly, peg, dens, tooth"
牙膏,牙膏,yá gāo,"toothpaste, CL:管[guan3]"
芽,芽,yá,"bud, sprout"
啞,哑,yā, yǎ,"(onom.) sound of cawing, sound of infant learning to talk, variant of 呀[ya1], dumb, mute, hoarse, husky, unexploded (of artillery shell etc)"
咽喉,咽喉,yān hoú,"throat"
煙囪,烟囱,yān cōng,"chimney"
煙火,烟火,yān huǒ,"smoke and fire, fireworks"
淹,淹,yān,"to flood, to submerge, to drown, to irritate the skin (of liquids), to delay"
延,延,Yán, yán,"surname Yan, to prolong, to extend, to delay"
延緩,延缓,yán huǎn,"to defer, to postpone, to put off, to retard, to slow sth down"
延誤,延误,yán wu,"to delay, to be held up, to miss (an opportunity), delay, holdup"
嚴謹,严谨,yánjǐn,"rigorous, strict, compact, well-knit"
嚴禁,严禁,yán jìn,"to strictly prohibit"
嚴峻,严峻,yán jùn,"grim, severe, rigorous"
嚴密,严密,yán mì,"strict, tight (organization, surveillance etc)"
言辭,言辞,yán cí,"words, expression, what one says"
言論,言论,yánlùn,"lecture, open discussion, talking to, speech"
言行,言行,yánxíng,words and deeds
岩石,岩石,yánshí,"muck, chimney, rock, petrous, stone"
炎熱,炎热,yánrè,scorching/blazing hot
炎症,炎症,yán zhèng,"inflammation"
沿岸,沿岸,yánàn,"coast, banks, seacoast, bank"
沿途,沿途,yántú,"on the way, throughout a journey"
沿線,沿线,yán xiàn,"along the line (e.g. railway), the region near the line"
研討,研讨,yántǎo,"deliberate, discuss"
閻王,阎王,Yán wáng,"same as 閻羅王|阎罗王, Yama, King of Hell, translation of Sanskrit: Yama Raja"
衍生,衍生,yǎnshēng,"derive, form"
掩蓋,掩盖,yǎn gài,"to conceal, to hide behind, to cover up"
掩護,掩护,yǎn hù,"to screen, to shield, to cover, protection, cover, CL:面[mian4]"
掩飾,掩饰,yǎnshì,"cover up, gloss over"
眼紅,眼红,yǎn hóng,"to covet, envious, jealous, green with envy, infuriated, furious"
眼界,眼界,yǎn jiè,"ken, scope"
眼色,眼色,yǎn sè,"signal made with one's eyes, meaningful glance"
眼神,眼神,yǎnshén,"eye, expression in one's eyes, sight, eyesight"
眼下,眼下,yǎn xià,"now, at present, subocular (medicine)"
演變,演变,yǎnbiàn,transmute
演播室,演播室,yǎn bō shì,"broadcasting studio"
演技,演技,yǎn jì,"acting, performing skills"
演練,演练,yǎn liàn,"drill, practice"
演示,演示,yǎn shì,"to demonstrate, to show, presentation, demonstration"
演說,演说,yǎnshuō,"speech, address"
演習,演习,yǎn xí,"maneuver, exercise, practice, to maneuver"
演戲,演戏,yǎnxì,"pretence, roleplay, playact, act, act in a play, playacting, put on a play, put on or act in a play, pretend, play act, play"
演藝圈,演艺圈,yǎn yì quān,"show business"
演繹,演绎,yǎn yì,"(of a story etc) to unfold, to play out, to develop (a technique etc), to enact, (logic) to deduce, to infer"
厭煩,厌烦,yàn fán,"bored, fed up with sth, sick of sth"
厭倦,厌倦,yàn juàn,"to be weary of, to be fed up with, tedious"
嚥,咽,yān, yàn, yè, yàn,"narrow pass, throat, pharynx, to swallow, to choke (in crying)"
艷麗,艳丽,yàn lì,"gorgeous, garish and beautiful"
驗,验,yàn, yàn,"to examine, to test, to check"
驗收,验收,yàn shoū,"to inspect and accept, acceptance"
驗證,验证,yànzhèng,test and verify
焰火,焰火,yàn huǒ,"fireworks"
燕子,燕子,yànzi,"barn_swallow, swallow"
秧歌,秧歌,yāng ge,"Yangge, a popular rural folk dance"
敭,扬,Yáng, yáng, yáng,"abbr. for 揚州|扬州[Yang2 zhou1], surname Yang, variant of 揚|扬[yang2]"
陽性,阳性,yáng xìng,"positive, masculine"
楊樹,杨树,yáng shù,"poplar tree, various trees of genus Populus"
洋溢,洋溢,yángyì,"reek, brim with, be permeated with, overflow"
養活,养活,yǎng huo,"to provide for, to keep (animals, a family etc), to raise animals, to feed and clothe, support, the necessities of life, to give birth"
養老金,养老金,yǎng lǎo jīn,"pension"
養老院,养老院,yǎng lǎo yuàn,"nursing home"
養生,养生,yǎng shēng,"to maintain good health, to raise a child or animal, curing (of concrete etc)"
養殖,养殖,yǎng zhí,"to cultivate, cultivation, to further, to encourage"
氧,氧,yǎng,"oxygen (chemistry)"
癢,痒,yǎng, yǎng,"to itch, to tickle"
樣本,样本,yàng běn,"sample, specimen"
樣品,样品,yàng pǐn,"sample, specimen"
妖怪,妖怪,yāo guài,"monster, devil"
邀,邀,yāo,invite
窰,窑,yáo, yáo,"variant of 窯|窑[yao2]"
謠言,谣言,yáo yán,"rumor"
搖擺,摇摆,yáo bǎi,"to sway, to wobble, to waver"
搖滾,摇滚,yáo gǔn,"rock 'n' roll (music), to rock, to fall off"
搖晃,摇晃,yáo huàng,"to rock, to shake, to sway"
搖籃,摇篮,yáo lán,"cradle"
搖搖欲墜,摇摇欲坠,yáo yáo yù zhuì,"tottering, on the verge of collapse"
遙控,遥控,yáo kòng,"remote control"
遙遠,遥远,yáoyuǎn,"distant, faraway, remote"
藥材,药材,yào cái,"drug ingredients"
藥方,药方,yào fāng,"prescription"
要不,要不,yào bù,"otherwise, or else, how about...?, either... (or...)"
要不是,要不是,yào bu shì,"if it were not for, but for"
要點,要点,yàodiǎn,"nub, head, essentials, highlight, core, effect, message, issue, detail, key strongpoint, kernel, hinge, upshot, best, capitulation, item, essential, point, salient point, substance, outline, main points, crux, essence, burden, knot, salience, pith, pivot, sum, marrow, gist"
要害,要害,yào hài,"vital part, (fig.) key point, crucial"
要緊,要紧,yào jǐn,"important, urgent"
要領,要领,yào lǐng,"main aspects, essentials, gist"
要命,要命,yào mìng,"to cause sb's death, very, extremely, frightening, annoying"
要強,要强,yào qiáng,"eager to excel, eager to get ahead in life, strong-minded"
鑰匙,钥匙,yàoshi5,key
耀眼,耀眼,yào yǎn,"to dazzle, dazzling"
椰子,椰子,yē zi,"coconut"
也就是說,也就是说,yějiùshìshuō,i.e.
野餐,野餐,yě cān,"picnic, to have a picnic"
野炊,野炊,yěchuī,"Picnic"
野蠻,野蛮,yě mán,"barbarous, uncivilized"
野獸,野兽,yě shoù,"beast, wild animal"
野外,野外,yěwài,"air, out-of-doors, open, outdoors, open air, open country, balefire, field"
野心,野心,yěxīn,"greed, careerism, ambition, ambitiousness, wild ambition"
野營,野营,yě yíng,"to camp, field lodgings"
業,业,Yè, yè,"surname Ye, line of business, industry, occupation, job, employment, school studies, enterprise, property, (Buddhism) karma, deed, to engage in, already"
業績,业绩,yèjī,achievement
夜班,夜班,yè bān,"night shift"
夜市,夜市,yèshì,night market
夜晚,夜晚,yè wǎn,"night, CL:個|个[ge4]"
夜校,夜校,yè xiào,"evening school, night school"
夜以繼日,夜以继日,yè yǐ jì rì,"night and day (idiom), continuous strenuous effort"
夜總會,夜总会,yè zǒng huì,"nightclub, nightspot"
液晶,液晶,yè jīng,"liquid crystal"
液體,液体,yè tǐ,"liquid"
一把手,一把手,yī bǎ shoǔ,"working hand, member of a work team, participant"
一線,一线,yī xiàn,"front line"
一一,一一,yīyī,"one_by_one, one after another, one at a time, one by one"
伊斯蘭教,伊斯兰教,Yī sī lán jiào,"Islam"
衣食住行,衣食住行,yī shí zhù xíng,"clothing, food, housing and transport (idiom), people's basic needs"
醫務,医务,yī wù,"medical affairs"
依,依,yī,"according to, judging by"
依託,依托,yī tuō,"to rely on, to depend on"
依依不捨,依依不舍,yī yī bù shě,"reluctant to part (idiom), broken-hearted at having to leave"
一不小心,一不小心,yībuxiǎoxīn,"Unclear"
一剎那,一刹那,yīchànuó,"a very short time, tick, trice, a moment, shake"
一大早,一大早,yī dà zǎo,"at dawn, at first light, first thing in the morning"
一動不動,一动不动,yī dòng bù dòng,"motionless"
一度,一度,yīdù,once
一概,一概,yī gài,"all, without any exceptions, categorically"
一概而論,一概而论,yī gài ér lùn,"to lump different matters together (idiom)"
一個勁兒,一个劲儿,yīgèjìnr,"erhua variant of 一個勁|一个劲[yi1 ge4 jin4]"
一晃,一晃,yī huǎng,"(of passing time) in an instant, (of a sight) in a flash"
一技之長,一技之长,yī jì zhī cháng,"proficiency in a particular field (idiom), skill in a specialized area (idiom)"
一面,一面,yīmiàn,"at the same time, simultaneously"
一目瞭然,一目了然,yī mù liǎo rán, yī mù liǎo rán,"obvious at a glance (idiom)"
一事無成,一事无成,yī shì wú chéng,"to have achieved nothing, to be a total failure, to get nowhere"
一瞬間,一瞬间,yī shùn jiān,"split second"
一味,一味,yīwèi,"blindly, stubbornly"
一系列,一系列,yī xì liè,"a series of, a string of"
一陣,一阵,yī zhèn,"a burst, a fit, a peal, a spell (period of time)"
儀表,仪表,yí biǎo,"appearance, bearing, meter (i.e. measuring instrument)"
恰然自得,恰然自得,qiàrán zìdé,"Just like"
姨,姨,yí,"mother's sister, aunt"
移交,移交,yí jiāo,"to transfer, to hand over"
移植,移植,yízhí,"transplant, graft"
遺留,遗留,yí liú,"to leave behind, to hand down"
遺棄,遗弃,yí qì,"to leave, to abandon"
遺體,遗体,yí tǐ,"remains (of a dead person)"
遺忘,遗忘,yíwàng,"misplace, bury, neglect, leave behind, escape, leave, elude, mislay, leave_behind, forget"
遺物,遗物,yíwù,"hangover, legacy, survival, memento, survivor, things left behind by the deceased, holdover, souvenir, keepsake, reliquiae, things left by deceased, remnant"
遺願,遗愿,yí yuàn,"final wishes of the departed"
遺址,遗址,yízhǐ,"ruins, remains, monument, relics"
遺囑,遗嘱,yí zhǔ,"testament, will"
疑點,疑点,yí diǎn,"a doubtful point"
疑惑,疑惑,yíhuò,"be perplexed, be uncertain"
疑慮,疑虑,yílù,"misgivings, doubts"
以,以,yǐ,"using, taking, from a point on, because of"
以免,以免,yǐmiǎn,"conj.: in order to avoid, so as not to"
以身作則,以身作则,yǐ shēn zuò zé,"to set an example (idiom), to serve as a model"
以至於,以至于,yǐzhìyū,"conj.: down/up to, to such an extent as to..., so...that..."
以致,以致,yǐzhì,"conj.: so that, with the result that"
矣,矣,yǐ,particle: used in classical Chinese to express exclamation
倚,倚,yǐ,"to lean on, to rely upon"
一長一短,一长一短,yīzhǎngyīduǎn,"A long one"
一成不變,一成不变,yī chéng bù biàn,"nothing much changes (idiom), always the same, stuck in a rut"
一籌莫展,一筹莫展,yī choú mò zhǎn,"to be unable to find a solution, to be at wits' end"
一帆風順,一帆风顺,yī fān fēng shùn,"propitious wind throughout the journey (idiom), plain sailing, to go smoothly, have a nice trip!"
一乾二淨,一干二净,yī gān èr jìng,"thoroughly (idiom), completely, one and all, very clean"
一鼓作氣,一鼓作气,yī gǔ zuò qì,"in a spurt of energy"
一鍋粥,一锅粥,yī guō zhoū,"(lit.) a pot of porridge, (fig.) a complete mess"
一回事,一回事,yī huí shì,"one thing, the same as"
一家人,一家人,yìjiārén,house
一經,一经,yījīng,"Once"
一舉,一举,yī jǔ,"a move, an action, in one move, at a stroke, in one go"
一舉一動,一举一动,yī jǔ yī dòng,"every movement, each and every move"
一卡通,一卡通,Yī kǎ tōng,"Yikatong (Beijing public transport smart card)"
一攬子,一揽子,yī lǎn zi,"all-inclusive, undiscriminating"
一連,一连,yīlián,"in a row, in succession, running"
一連串,一连串,yīliánchuàn,"a string of, in a row, a series of, a chain of, a succession of, in succession"
一毛不拔,一毛不拔,yī máo bù bá,"stingy (idiom)"
一年到頭,一年到头,yī nián dào toú,"all year round"
一旁,一旁,yī páng,"aside, to the side of"
一如既往,一如既往,yī rú jì wǎng,"just as in the past (idiom), as before, continuing as always"
一聲不吭,一声不吭,yī shēng bù kēng,"to not say a word"
一手,一手,yī shoǔ,"a skill, mastery of a trade, by oneself, without outside help"
一塌糊塗,一塌糊涂,yī tā hú tu,"muddled and completely collapsing (idiom), in an awful condition, complete shambles, a total mess"
一體,一体,yītǐ,"an organic/integral whole, all concerned"
一天到晚,一天到晚,yītiāndàowǎn,all day long
一頭,一头,yī toú,"one head, a head full of sth, one end (of a stick), one side, headlong, directly, rapidly, simultaneously"
一無所有,一无所有,yī wú suǒ yoǔ,"not having anything at all (idiom), utterly lacking, without two sticks to rub together"
一無所知,一无所知,yī wú suǒ zhī,"not knowing anything at all (idiom), completely ignorant, without an inkling"
一心,一心,yī xīn,"wholeheartedly, heart and soul"
一心一意,一心一意,yī xīn yī yì,"concentrating one's thoughts and efforts, single-minded, bent on, intently"
一言不發,一言不发,yī yán bù fā,"to not say a word (idiom)"
一言一行,一言一行,yī yán yī xíng,"every word and action (idiom)"
一眼,一眼,yī yǎn,"a glance, a quick look, a glimpse"
一應俱全,一应俱全,yī yīng jù quán,"with everything needed available"
一早,一早,yī zǎo,"early in the morning, at dawn"
義工,义工,yìgōng,volunteer
議,议,yì,"to comment on, to discuss, to suggest"
議程,议程,yìchéng,agenda
議會,议会,yìhuì,"Sanhedrin, general assembly, Cortes, Knesset, diet, senate, Majlis, duma, law-makers, forum, junta, parliament, legislature, meeting place, parliamentary, assembly, president, house, legislative assembly"
議員,议员,yìyuán,"councillor, member of legislative body, deputy, councilman, council member, legislator, solon, Congresswoman, Member of Parliament, assemblyman, Congressman"
屹立,屹立,yì lì,"to tower, to stand straight (of person's bearing)"
亦,亦,yì,"also, too"
異口同聲,异口同声,yì koǔ tóng shēng,"different mouths, same voice, to speak in unison (idiom)"
異想天開,异想天开,yì xiǎng tiān kāi,"to imagine the wildest thing, to indulge in fantasy"
異性,异性,yìxìng,"metamerism, isomerism, heterosexual, opposite sex, different nature"
異議,异议,yìyì,"remonstrance, dissent, expostulation, exception, dissidence, protestation, demur, objection, demurrer"
抑揚頓挫,抑扬顿挫,yì yáng dùn cuò,"see 頓挫抑揚|顿挫抑扬[dun4 cuo4 yi4 yang2]"
抑鬱,抑郁,yì yù,"depressed, despondent, gloomy, depression"
抑鬱症,抑郁症,yì yù zhèng,"clinical depression"
抑制,抑制,yìzhì,"forbear, chasten, last out, govern, forebear, help, baste, cumber, rein, hamshackle, damp, disable, harness, restrain, muffle, stay, rule, hold in, bottle_up, throttle, constrain, retard, moderate, cork, swallow, hold, mortify, smother, rebuke, withhold, refrain, soften, control, break, curb, oppress, inhibit, ride out, coerce, dominate, bridle, constrict, choke, inhibition, dampen, restraint"
譯,译,yì,"to translate, to interpret"
易拉罐,易拉罐,yì lā guàn,"pull-top can, easy-open can (with ring-pull)"
疫苗,疫苗,yì miáo,"vaccine"
益處,益处,yì chu,"benefit"
意料,意料,yì liào,"to anticipate, to expect"
意料之外,意料之外,yì liào zhī wài,"contrary to expectation, unexpected"
意圖,意图,yìtú,"intention, intent"
意向,意向,yì xiàng,"intention, purpose, intent, inclination, disposition"
