阿拉伯语	阿拉伯語	Ā lā bó yǔ	Arabic (language);  
一事无成	一事無成	yī shì wú chéng	to have achieved nothing; to be a total failure; to get nowhere;  
一瞬间	一瞬間	yī shùn jiān	split second;  
一味	一味	yī wèi	blindly; invariably;  
一系列	一係列	yī xì liè	a series of; a string of;  
一阵	一陣	yī zhèn	a burst; a fit; a peal; a spell (period of time);  
仪表	儀錶	yí biǎo	appearance; bearing; meter (i.e. measuring instrument);  
恰然自得	恰然自得	qiàránzìdé	Just like
姨	姨	yí	mother's sister; aunt;  
移交	移交	yí jiāo	to transfer; to hand over;  
移植	移植	yí zhí	to transplant;  
遗留	遺留	yí liú	to leave behind; to hand down;  
遗弃	遺棄	yí qì	to leave; to abandon;  
遗体	遺體	yí tǐ	remains (of a dead person);  
遗忘	遺忘	yí wàng	to become forgotten; to forget;  
遗物	遺物	yí wù	remnant;  
遗愿	遺願	yí yuàn	final wishes of the departed;  
遗址	遺址	yí zhǐ	ruins; historic relics;  
遗嘱	遺囑	yí zhǔ	testament; will;  
疑点	疑點	yí diǎn	a doubtful point;  
疑惑	疑惑	yí huò	to doubt; to distrust; unconvincing; to puzzle over; misgivings; suspicions;  
疑虑	疑慮	yí lǜ	hesitation; misgivings; doubt;  
以	以	yǐ, yǐ, Yǐ, yǐ	to use; by means of; according to; in order to; because of; at (a certain date or place);  abbr. for Israel 以色列[Yi3 se4 lie4];  
以免	以免	yǐ miǎn	in order to avoid; so as not to;  
以身作则	以身作則	yǐ shēn zuò zé	to set an example (idiom); to serve as a model;  
以至于	以至於	yǐ zhì yú	down to; up to; to the extent that...;  
以致	以緻	yǐ zhì	to such an extent as to; down to; up to;  
矣	矣	yǐ	classical final particle, similar to modern 了[le5];  
倚	倚	yǐ	to lean on; to rely upon;  
一长一短	一長一短	yīchángyīduǎn	A long one
一成不变	一成不變	yī chéng bù biàn	nothing much changes (idiom); always the same; stuck in a rut;  
一筹莫展	一籌莫展	yī choú mò zhǎn	to be unable to find a solution; to be at wits' end;  
一帆风顺	一帆風順	yī fān fēng shùn	propitious wind throughout the journey (idiom); plain sailing; to go smoothly; have a nice trip!;  
一干二净	一乾二淨	yī gān èr jìng	thoroughly (idiom); completely; one and all; very clean;  
一鼓作气	一鼓作氣	yī gǔ zuò qì	in a spurt of energy;  
一锅粥	一鍋粥	yī guō zhoū	(lit.) a pot of porridge; (fig.) a complete mess;  
一回事	一迴事	yī huí shì	one thing; the same as;  
一家人	一傢人	yī jiā rén	household; the whole family;  
一经	一經	yījīng	Once
一举	一舉	yī jǔ	a move; an action; in one move; at a stroke; in one go;  
一举一动	一舉一動	yī jǔ yī dòng	every movement; each and every move;  
一卡通	一卡通	Yī kǎ tōng	Yikatong (Beijing public transport smart card);  
一揽子	一攬子	yī lǎn zi	all-inclusive; undiscriminating;  
一连	一連	yī lián	in a row; in succession; running;  
一连串	一連串	yī lián chuàn	a succession of; a series of;  
一毛不拔	一毛不拔	yī máo bù bá	stingy (idiom);  
一年到头	一年到頭	yī nián dào toú	all year round;  
一旁	一旁	yī páng	aside; to the side of;  
一如既往	一如既往	yī rú jì wǎng	just as in the past (idiom); as before; continuing as always;  
一声不吭	一聲不吭	yī shēng bù kēng	to not say a word;  
一手	一手	yī shoǔ	a skill; mastery of a trade; by oneself; without outside help;  
一塌糊涂	一塌糊塗	yī tā hú tu	muddled and completely collapsing (idiom); in an awful condition; complete shambles; a total mess;  
一体	一體	yī tǐ	an integral whole; all concerned; everybody;  
一天到晚	一天到晚	yī tiān dào wǎn	all day long; the whole day;  
一头	一頭	yī toú	one head; a head full of sth; one end (of a stick); one side; headlong; directly; rapidly; simultaneously;  
一无所有	一無所有	yī wú suǒ yoǔ	not having anything at all (idiom); utterly lacking; without two sticks to rub together;  
一无所知	一無所知	yī wú suǒ zhī	not knowing anything at all (idiom); completely ignorant; without an inkling;  
一心	一心	yī xīn	wholeheartedly; heart and soul;  
一心一意	一心一意	yī xīn yī yì	concentrating one's thoughts and efforts; single-minded; bent on; intently;  
一言不发	一言不發	yī yán bù fā	to not say a word (idiom);  
一言一行	一言一行	yī yán yī xíng	every word and action (idiom);  
一眼	一眼	yī yǎn	a glance; a quick look; a glimpse;  
一应俱全	一應俱全	yī yīng jù quán	with everything needed available;  
一早	一早	yī zǎo	early in the morning; at dawn;  
义工	義工	yì gōng	volunteer worker; volunteer work;  
议	議	yì	to comment on; to discuss; to suggest;  
议程	議程	yì chéng	agenda; agenda item;  
议会	議會	yì huì	parliament; legislative assembly;  
议员	議員	yì yuán	member (of a legislative body); representative;  
屹立	屹立	yì lì	to tower; to stand straight (of person's bearing);  
亦	亦	yì	also;  
异口同声	異口同聲	yì koǔ tóng shēng	different mouths, same voice; to speak in unison (idiom);  
异想天开	異想天開	yì xiǎng tiān kāi	to imagine the wildest thing; to indulge in fantasy;  
异性	異性	yì xìng	the opposite sex; of the opposite sex; heterosexual; different in nature;  
异议	異議	yì yì	objection; dissent;  
抑扬顿挫	抑揚頓挫	yì yáng dùn cuò	see 頓挫抑揚|顿挫抑扬[dun4 cuo4 yi4 yang2];  
抑郁	抑鬱	yì yù	depressed; despondent; gloomy; depression;  
抑郁症	抑鬱癥	yì yù zhèng	clinical depression;  
抑制	抑製	yì zhì	to inhibit; to keep down; to suppress;  
译	譯	yì	to translate; to interpret;  
易拉罐	易拉罐	yì lā guàn	pull-top can; easy-open can (with ring-pull);  
疫苗	疫苗	yì miáo	vaccine;  
益处	益處	yì chu	benefit;  
意料	意料	yì liào	to anticipate; to expect;  
意料之外	意料之外	yì liào zhī wài	contrary to expectation; unexpected;  
意图	意圖	yì tú	intent; intention; to intend;  
意向	意嚮	yì xiàng	intention; purpose; intent; inclination; disposition;  
溢	溢	yì	to overflow; (literary) excessive; old variant of 鎰|镒[yi4];  
毅力	毅力	yì lì	perseverance; willpower;  
毅然	毅然	yì rán	firmly; resolutely; without hesitation;  
因人而异	因人而異	yīn rén ér yì	varying from person to person (idiom); different for each individual;  
阴暗	陰暗	yīn àn	dim; dark; overcast; darkness; shadow; (fig.) dismal; gloomy; somber; murky; shadowy (side);  
阴性	陰性	yīn xìng	negative; feminine;  
音响	音響	yīn xiǎng	sound; acoustics; audio; hi-fi system; stereo sound system; abbr. for 組合音響|组合音响[zu3 he2 yin1 xiang3];  
殷勤	殷勤	yīn qín	politely; solicitously; eagerly attentive;  
银幕	銀幕	yín mù	movie screen;  
引发	引發	yǐn fā	to lead to; to trigger; to initiate; to cause; to evoke (emotions);  
引经据典	引經據典	yǐn jīng jù diǎn	lit. to quote the classics; to quote chapter and verse (idiom);  
引领	引領	yǐn lǐng	to crane one's neck; to await eagerly; to lead; to show the way;  
引擎	引擎	yǐn qíng	engine (loanword); CL:臺|台[tai2];  
引人人胜	引人人勝	yǐnrénrénshèng	People win
引人注目	引人注目	yǐn rén zhù mù	to attract attention; eye-catching; conspicuous;  
引入	引入	yǐn rù	to draw into; to pull into; to introduce;  
引用	引用	yǐn yòng	to quote; to cite; to recommend; to appoint; (computing) reference;  
引诱	引誘	yǐn yoù	to coerce (sb into doing sth bad); to lure (into a trap); to seduce;  
饮水	飲水	yǐn shuǐ	drinking water;  
饮用水	飲用水	yǐn yòng shuǐ	drinking water; potable water;  
隐蔽	隱蔽	yǐn bì	to conceal; to hide; covert; under cover;  
隐患	隱患	yǐn huàn	a danger concealed within sth; hidden damage; misfortune not visible from the surface;  
隐瞒	隱瞞	yǐn mán	to conceal; to hide (a taboo subject); to cover up the truth;  
隐情	隱情	yǐn qíng	sth one wishes to keep secret; ulterior motive; a subject best avoided;  
隐身	隱身	yǐn shēn	to hide oneself; invisible (person or online status);  
隐形	隱形	yǐn xíng	invisible;  
隐性	隱性	yǐn xìng	hidden; crypto-; recessive (gene);  
隐约	隱約	yǐn yuē	vague; faint; indistinct;  
瘾	癮	yǐn	addiction; craving;  
印刷术	印刷術	yìn shuā shù	printing; printing technology;  
印章	印章	yìn zhāng	seal; signet; chop; stamp; CL:方[fang1];  
印证	印證	yìn zhèng	to seal; to confirm; to corroborate; to verify;  
应有尽有	應有盡有	yīng yoǔ jìn yoǔ	everything that should be here is here (idiom); all one can think of is on hand; to have all one needs;  
英镑	英鎊	Yīng bàng	pound sterling;  
英俊	英俊	yīng jùn	handsome;  
婴儿	嬰兒	yīng ér	infant; baby; CL:個|个[ge4]; lead (Pb);  
鹰	鷹	yīng	eagle; falcon; hawk;  
迎	迎	yíng	to welcome; to meet; to face; to forge ahead (esp. in the face of difficulties);  
迎合	迎閤	yíng hé	to cater to; to pander to;  
荧光	熒光	yíng guāng	fluorescence; fluorescent;  
盈利	盈利	yíng lì	profit; gain;  
营救	營救	yíng jiù	to rescue;  
营造	營造	yíng zào	to build (housing); to construct; to make;  
赢家	贏傢	yíng jiā	winner;  
影像	影像	yǐng xiàng	image;  
应酬	應酬	yìng chou	social niceties; social interaction; a dinner party;  
应付	應付	yìng fu	to deal with; to cope;  
应聘	應聘	yìng pìn	to accept a job offer; to apply for an advertised position;  
应邀	應邀	yìng yāo	at sb's invitation; on invitation;  
映	映	yìng, yìng	old variant of 映[ying4];  
硬币	硬幣	yìng bì	coin; CL:枚[mei2];  
硬朗	硬朗	yìng lǎng	robust; healthy;  
硬盘	硬盤	yìng pán	hard disk;  
拥护	擁護	yōng hù	to endorse; to support;  
拥挤	擁擠	yōng jǐ	crowded; to throng; congestion;  
庸俗	庸俗	yōng sú	filthy; vulgar; debased;  
永不	永不	yǒng bù	never; will never;  
永恒	永恒	yǒng héng	eternal; everlasting; fig. to pass into eternity (i.e. to die);  
永久	永久	yǒng jiǔ	everlasting; perpetual; lasting; forever; permanent;  
勇往直前	勇往直前	yǒng wǎng zhí qián	to advance bravely;  
勇于	勇於	yǒng yú	to dare to; to be brave enough to;  
涌	湧	chōng, yǒng, yǒng	(used in place names);  to bubble up; to rush forth;  
涌入	湧入	yǒngrù	Influence
涌现	湧現	yǒng xiàn	to emerge in large numbers; to spring up; to emerge prominently;  
踊跃	踴躍	yǒng yuè	to leap; to jump; eager; enthusiastically;  
用餐	用餐	yòng cān	to eat a meal;  
用功	用功	yòng gōng	diligent; industrious (in one's studies); to study hard; to make great effort;  
用力	用力	yòng lì	to exert oneself physically;  
用人	用人	yòng rén	servant; to employ sb for a job; to manage people; to be in need of staff;  
用意	用意	yòng yì	intention; purpose;  
优	優	yoū	excellent; superior;  
优化	優化	yoū huà	optimization; to optimize; to make superior;  
优雅	優雅	yoū yǎ	grace; graceful;  
优异	優異	yoū yì	exceptional; outstandingly good;  
优越	優越	yoū yuè	superior; superiority;  
忧愁	憂愁	yoū choú	to be worried;  
忧虑	憂慮	yoū lǜ	to worry; anxiety (about);  
忧郁	憂鬱	yoū yù	sullen; depressed; melancholy; dejected;  
悠久	悠久	yoū jiǔ	long (tradition, history etc);  
悠闲	悠閑	yoū xián, yoū xián	leisurely; carefree; relaxed;  
尤为	尤為	yoú wéi	especially;  
由此看来	由此看來	yóucǐkànlái	It seems that it seems
由此可见	由此可見	yoú cǐ kě jiàn	from this, it can be seen that...;  
由来	由來	yoú lái	origin;  
由衷	由衷	yoú zhōng	heartfelt; sincere; unfeigned;  
邮编	郵編	yoú biān	postal code; zip code;  
邮政	郵政	yoú zhèng	postal service; postal;  
犹如	猶如	yoú rú	similar to; appearing to be;  
犹豫不决	猶豫不決	yoú yù bù jué	hesitancy; indecision; to waver;  
油画	油畫	yoú huà	oil painting;  
游船	遊船	yóuchuán	Boat
游览	遊覽	yoú lǎn	to go sightseeing; to tour; to visit; CL:次[ci4];  
友情	友情	yoǔ qíng	friendly feelings; friendship;  
友人	友人	yoǔ rén	friend;  
友善	友善	yoǔ shàn	friendly;  
有待	有待	yoǔ dài	not yet (done); pending;  
有的放矢	有的放矢	yǒudefàngshǐ	Title
有机	有機	yoǔ jī	organic;  
有口无心	有口無心	yoǔ koǔ wú xīn	to speak harshly but without any bad intent (idiom);  
有两下子	有兩下子	yoǔ liǎng xià zi	to have real skill; to know one's stuff;  
有声有色	有聲有色	yoǔ shēng yoǔ sè	having sound and color (idiom); vivid; dazzling;  
有所	有所	yoǔ suǒ	somewhat; to some extent;  
有所不同	有所不同	yoǔ suǒ bù tóng	to differ to some extent (idiom);  
有望	有望	yoǔ wàng	hopeful; promising;  
有效期	有效期	yoǔ xiào qī	period of validity; sell-by date;  
有幸	有幸	yoǔ xìng	fortunately;  
有序	有序	yoǔ xù	regular; orderly; successive; in order;  
有益	有益	yoǔ yì	useful; profitable;  
有意	有意	yoǔ yì	to intend; intentionally; interested in;  
有朝一日	有朝一日	yoǔ zhāo yī rì	one day; sometime in the future;  
有助于	有助於	yoǔ zhù yú	to contribute to; to promote;  
幼稚	幼稚	yoù zhì	young; childish; puerile;  
诱饵	誘餌	yoù ěr	bait;  
诱发	誘發	yoù fā	to induce; to cause; to elicit; to trigger;  
诱惑	誘惑	yoù huò	to entice; to lure; to induce; to attract;  
诱人	誘人	yoù rén	attractive; alluring; captivating; to attract; to captivate;  
余	餘	Yú, yú, yú	surname Yu;  extra; surplus; remaining; remainder after division; (following numerical value) or more; in excess of (some number); residue (math.); after; I; me;  
余地	餘地	yú dì	margin; leeway;  
余额	餘額	yú é	balance (of an account, bill etc); surplus; remainder;  
渔船	漁船	yú chuán	fishing boat; CL:條|条[tiao2];  
渔民	漁民	yú mín	fisherman; fisher folk;  
逾期	逾期	yú qī	to be overdue; to fail to meet a deadline; to be behind in doing sth;  
愚蠢	愚蠢	yú chǔn	silly; stupid;  
愚公移山	愚公移山	yú gōng yí shān	the old man moves mountains (idiom); fig. where there's a will, there's a way;  
舆论	輿論	yú lùn	public opinion;  
与此同时	與此同時	yǔ cǐ tóng shí	at the same time; meanwhile;  
与否	與否	yǔ foǔ	whether or not (at the end of a phrase);  
与其	與其	yǔ qí	rather than...; 與其|与其[yu3 qi2] A 不如[bu4 ru2] B (rather than A, better to B);  
与日俱增	與日俱增	yǔ rì jù zēng	to increase steadily; to grow with each passing day;  
与时俱进	與時俱進	yǔ shí jù jìn	abreast of modern developments; to keep up with the times; progressive; timely;  
与众不同	與眾不同	yǔ zhòng bù tóng	to stand out from the masses (idiom);  
予以	予以	yǔ yǐ	to give; to impose; to apply;  
宇宙	宇宙	yǔ zhoù	universe; cosmos;  
语气	語氣	yǔ qì	tone; manner of speaking; mood; CL:個|个[ge4];  
浴室	浴室	yù shì	bathroom (room used for bathing); CL:間|间[jian1];  
预定	預定	yù dìng	to schedule in advance;  
预感	預感	yù gǎn	to have a premonition; premonition;  
预告	預告	yù gào	to forecast; to predict; advance notice;  
预见	預見	yù jiàn	to foresee; to predict; to forecast; to envision; foresight; intuition; vision;  
预料	預料	yù liào	to forecast; to anticipate; expectation;  
预赛	預賽	yù sài	preliminary competition; to hold preliminary heats;  
预示	預示	yù shì	to indicate; to foretell; to forebode; to betoken;  
预售	預售	yù shoù	advance sale; to sell in advance; to book;  
预算	預算	yù suàn	budget;  
